"Plot Title: Clam-Bay-Beach"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20137186, SEN S/N: 20137186)","Intensity, lum/ft² (LGR S/N: 20137186, SEN S/N: 20137186)","Host Connected (LGR S/N: 20137186)","Coupler Attached (LGR S/N: 20137186)","Stopped (LGR S/N: 20137186)","End Of File (LGR S/N: 20137186)"
324,06/14/18 01:30:00 PM,28.754,480.0,,,,
325,06/14/18 02:00:00 PM,18.331,86.0,,,,
326,06/14/18 02:30:00 PM,14.613,46.0,,,,
327,06/14/18 03:00:00 PM,13.654,12.0,,,,
328,06/14/18 03:30:00 PM,13.076,3.0,,,,
329,06/14/18 04:00:00 PM,12.883,6.0,,,,
330,06/14/18 04:30:00 PM,12.401,2.0,,,,
331,06/14/18 05:00:00 PM,11.625,1.0,,,,
332,06/14/18 05:30:00 PM,11.334,0.0,,,,
333,06/14/18 06:00:00 PM,11.334,0.0,,,,
334,06/14/18 06:30:00 PM,11.236,0.0,,,,
335,06/14/18 07:00:00 PM,11.236,0.0,,,,
336,06/14/18 07:30:00 PM,11.236,0.0,,,,
337,06/14/18 08:00:00 PM,11.139,0.0,,,,
338,06/14/18 08:30:00 PM,11.139,0.0,,,,
339,06/14/18 09:00:00 PM,11.139,0.0,,,,
340,06/14/18 09:30:00 PM,11.139,0.0,,,,
341,06/14/18 10:00:00 PM,11.139,0.0,,,,
342,06/14/18 10:30:00 PM,11.041,0.0,,,,
343,06/14/18 11:00:00 PM,11.139,0.0,,,,
344,06/14/18 11:30:00 PM,11.139,0.0,,,,
345,06/15/18 12:00:00 AM,11.139,0.0,,,,
346,06/15/18 12:30:00 AM,11.139,0.0,,,,
347,06/15/18 01:00:00 AM,11.041,0.0,,,,
348,06/15/18 01:30:00 AM,11.139,0.0,,,,
349,06/15/18 02:00:00 AM,11.236,0.0,,,,
350,06/15/18 02:30:00 AM,11.236,0.0,,,,
351,06/15/18 03:00:00 AM,11.334,0.0,,,,
352,06/15/18 03:30:00 AM,11.431,0.0,,,,
353,06/15/18 04:00:00 AM,11.431,0.0,,,,
354,06/15/18 04:30:00 AM,11.431,0.0,,,,
355,06/15/18 05:00:00 AM,11.334,0.0,,,,
356,06/15/18 05:30:00 AM,11.334,0.0,,,,
357,06/15/18 06:00:00 AM,11.334,0.0,,,,
358,06/15/18 06:30:00 AM,11.334,0.0,,,,
359,06/15/18 07:00:00 AM,11.334,0.0,,,,
360,06/15/18 07:30:00 AM,11.334,0.0,,,,
361,06/15/18 08:00:00 AM,11.334,1.0,,,,
362,06/15/18 08:30:00 AM,11.334,6.0,,,,
363,06/15/18 09:00:00 AM,11.722,11.0,,,,
364,06/15/18 09:30:00 AM,11.819,272.0,,,,
365,06/15/18 10:00:00 AM,12.304,256.0,,,,
366,06/15/18 10:30:00 AM,13.173,448.0,,,,
367,06/15/18 11:00:00 AM,16.237,2048.0,,,,
368,06/15/18 11:30:00 AM,20.519,3200.0,,,,
369,06/15/18 12:00:00 PM,23.677,4096.0,,,,
370,06/15/18 12:30:00 PM,24.448,3840.0,,,,
371,06/15/18 01:00:00 PM,26.879,13312.0,,,,
372,06/15/18 01:30:00 PM,28.953,13312.0,,,,
373,06/15/18 02:00:00 PM,28.555,3200.0,,,,
374,06/15/18 02:30:00 PM,27.665,8704.0,,,,
375,06/15/18 03:00:00 PM,17.760,576.0,,,,
376,06/15/18 03:30:00 PM,14.134,184.0,,,,
377,06/15/18 04:00:00 PM,13.461,103.0,,,,
378,06/15/18 04:30:00 PM,13.365,184.0,,,,
379,06/15/18 05:00:00 PM,13.076,128.0,,,,
380,06/15/18 05:30:00 PM,12.110,24.0,,,,
381,06/15/18 06:00:00 PM,11.625,16.0,,,,
382,06/15/18 06:30:00 PM,11.528,17.0,,,,
383,06/15/18 07:00:00 PM,11.236,11.0,,,,
384,06/15/18 07:30:00 PM,11.139,10.0,,,,
385,06/15/18 08:00:00 PM,11.041,6.0,,,,
386,06/15/18 08:30:00 PM,11.041,2.0,,,,
387,06/15/18 09:00:00 PM,11.041,0.0,,,,
388,06/15/18 09:30:00 PM,11.041,0.0,,,,
389,06/15/18 10:00:00 PM,11.041,0.0,,,,
390,06/15/18 10:30:00 PM,11.041,0.0,,,,
391,06/15/18 11:00:00 PM,11.041,0.0,,,,
392,06/15/18 11:30:00 PM,11.139,0.0,,,,
393,06/16/18 12:00:00 AM,11.041,0.0,,,,
394,06/16/18 12:30:00 AM,11.139,0.0,,,,
395,06/16/18 01:00:00 AM,11.139,0.0,,,,
396,06/16/18 01:30:00 AM,11.139,0.0,,,,
397,06/16/18 02:00:00 AM,11.139,0.0,,,,
398,06/16/18 02:30:00 AM,11.139,0.0,,,,
399,06/16/18 03:00:00 AM,11.139,0.0,,,,
400,06/16/18 03:30:00 AM,11.236,0.0,,,,
401,06/16/18 04:00:00 AM,11.236,0.0,,,,
402,06/16/18 04:30:00 AM,11.236,0.0,,,,
403,06/16/18 05:00:00 AM,11.236,0.0,,,,
404,06/16/18 05:30:00 AM,11.236,0.0,,,,
405,06/16/18 06:00:00 AM,11.334,1.0,,,,
406,06/16/18 06:30:00 AM,11.334,4.0,,,,
407,06/16/18 07:00:00 AM,11.334,6.0,,,,
408,06/16/18 07:30:00 AM,11.431,5.0,,,,
409,06/16/18 08:00:00 AM,11.431,11.0,,,,
410,06/16/18 08:30:00 AM,11.528,24.0,,,,
411,06/16/18 09:00:00 AM,11.625,128.0,,,,
412,06/16/18 09:30:00 AM,11.819,94.0,,,,
413,06/16/18 10:00:00 AM,12.110,136.0,,,,
414,06/16/18 10:30:00 AM,12.401,272.0,,,,
415,06/16/18 11:00:00 AM,13.076,480.0,,,,
416,06/16/18 11:30:00 AM,14.230,608.0,,,,
417,06/16/18 12:00:00 PM,21.187,512.0,,,,
418,06/16/18 12:30:00 PM,25.416,608.0,,,,
419,06/16/18 01:00:00 PM,27.272,704.0,,,,
420,06/16/18 01:30:00 PM,28.754,800.0,,,,
421,06/16/18 02:00:00 PM,29.652,704.0,,,,
422,06/16/18 02:30:00 PM,31.983,768.0,,,,
423,06/16/18 03:00:00 PM,29.053,608.0,,,,
424,06/16/18 03:30:00 PM,22.046,384.0,,,,
425,06/16/18 04:00:00 PM,15.378,36.0,,,,
426,06/16/18 04:30:00 PM,13.461,73.0,,,,
427,06/16/18 05:00:00 PM,13.365,117.0,,,,
428,06/16/18 05:30:00 PM,13.173,105.0,,,,
429,06/16/18 06:00:00 PM,12.110,60.0,,,,
430,06/16/18 06:30:00 PM,11.916,45.0,,,,
431,06/16/18 07:00:00 PM,11.625,22.0,,,,
432,06/16/18 07:30:00 PM,11.431,11.0,,,,
433,06/16/18 08:00:00 PM,11.431,7.0,,,,
434,06/16/18 08:30:00 PM,11.431,2.0,,,,
435,06/16/18 09:00:00 PM,11.334,0.0,,,,
436,06/16/18 09:30:00 PM,11.236,0.0,,,,
437,06/16/18 10:00:00 PM,11.236,0.0,,,,
438,06/16/18 10:30:00 PM,11.236,0.0,,,,
439,06/16/18 11:00:00 PM,11.236,0.0,,,,
440,06/16/18 11:30:00 PM,11.236,0.0,,,,
441,06/17/18 12:00:00 AM,11.236,0.0,,,,
442,06/17/18 12:30:00 AM,11.236,0.0,,,,
443,06/17/18 01:00:00 AM,11.236,0.0,,,,
444,06/17/18 01:30:00 AM,11.236,0.0,,,,
